k,n,tested,zero_bt,rate
1,5,30,19,63.3
1,10,30,18,60.0
1,15,30,16,53.3
1,20,30,15,50.0
1,25,30,9,30.0
1,30,30,10,33.3
1,35,30,7,23.3
1,40,30,4,13.3
1,45,30,12,40.0
1,50,30,5,16.7
2,5,30,30,100.0
2,8,30,30,100.0
2,10,30,30,100.0
2,12,30,30,100.0
2,14,30,30,100.0
2,15,30,30,100.0
2,16,30,29,96.7
2,17,30,29,96.7
2,18,30,29,96.7
2,19,30,30,100.0
2,20,30,28,93.3
2,22,30,28,93.3
2,25,30,27,90.0
2,28,30,28,93.3
2,30,30,30,100.0
2,35,30,23,76.7
2,40,30,17,56.7
2,45,30,16,53.3
2,50,30,14,46.7
3,15,20,20,100.0
3,20,20,20,100.0
3,25,20,20,100.0
3,30,20,20,100.0
3,35,20,20,100.0
3,40,20,20,100.0
3,42,20,20,100.0
3,44,20,19,95.0
3,45,20,20,100.0
3,46,20,20,100.0
3,47,20,20,100.0
3,48,20,19,95.0
3,50,20,20,100.0
